pulsd_title,pulsd_price,pulsd_url,google_rating,google_total_ratings,restaurant_name,pulsd_address,google_review_summary
"$49 Endless Drinks & Tacos For2, Williamsburg",49,pulsd.com/new-york/promotions/blend-williamsburg-bottomless-dinner-unlimited-tacos-nyc,4.3,1191,Blend Williamsburg,"291 Kent Avenue, Brooklyn, NY 11249","People say this Latin American restaurant serves delicious skirt steak, salmon, and arepas. They also highlight the fun, energetic vibe, the beautiful rooftop, and the friendly, attentive staff.

Other reviews mention the food can be cold."
"$49 Bottomless Brunch For Two, East Village",49,pulsd.com/new-york/promotions/ichibantei-bottomless-brunch-restaurant-nyc,4.3,653,Ichibantei,"100 3rd Avenue, New York, NY 10003","People say this Japanese restaurant serves delicious chicken katsu, niku udon, and tonkatsu. They also highlight the fair prices, great vibe, and friendly staff.

Other reviews mention the food can be inconsistent."
$49 Upper East Side Cocktail Brunch For Two,49,pulsd.com/new-york/promotions/amali-cocktail-brunch-restaurant-nyc,4.3,549,Amali,"115 E 60th Street, New York, NY 10022","Diners say this Mediterranean restaurant serves up delicious grilled octopus, handmade pasta, and a notable cheeseburger. They also highlight the chic yet inviting atmosphere, impeccable wine list, and warm, attentive service.

Some reviews mention the gratuity can be automatically added to the bill."
"$45 Cocktail Brunch For Two, UWS",45,pulsd.com/new-york/promotions/pappardella-cocktail-brunch-restaurant-nyc,4.3,1566,Pappardella,"316 Columbus Avenue, New York, NY","People say this Italian restaurant serves delicious lasagna, pizza, and veal, and offers a gluten-free menu. They also highlight the generous portions, reasonable prices, and friendly, attentive service.

Other reviews mention the wait can be long."
$45 Seafood Boil Feast For 2 w Cocktails/Wine,45,pulsd.com/new-york/promotions/shaking-crab-williamsburg-dinner-brunch-lunch-restaurant-nyc,4.3,359,Shaking Crab Williamsburg,"1045 Flushing Avenue, Brooklyn, NY 11237","People say this seafood restaurant serves fresh and delicious seafood boils, lobster mac and cheese, and banana pudding. They also highlight the friendly and attentive staff, the upbeat music, and the ability to customize seafood boils.

Other reviews mention the food can be overpriced."
"$39 Bottomless Brunch For Two, UES",39,pulsd.com/new-york/promotions/a-la-turka-bottomless-brunch-restaurant-nyc,4.3,1136,A La Turka,"1417 2nd Avenue, New York, NY 10021","People say this restaurant serves delicious Turkish food, including excellent mixed grills, lamb shanks, and Adana kebabs. They also highlight the beautiful and authentic atmosphere, and the attentive and friendly service.

Other reviews mention the portions can be small."
$39 2 Crs Dinner For Two With Wines/Cocktails,39,pulsd.com/new-york/promotions/salud-soho-dinner-restaurant-nyc,4.3,78,Salud,"183 Grand Street, New York, NY 10013","People say this restaurant offers creative cocktails and elevated small bites. They highlight the vibrant and energetic atmosphere, and the friendly and attentive staff. They also like the cozy and bohemian feel."
$39 Brunch For Two & Cocktail Trees & More,39,pulsd.com/new-york/promotions/recreation-cocktail-brunch-restaurant-nyc,4.3,321,Recreation,"26 Ann Street, New York, NY 10038","People say this cocktail bar offers delicious drinks and a variety of shared bites. They also highlight the fun, cozy, and nostalgic vibe, and the attentive, welcoming, and charismatic service.

Other reviews mention the food portions can be small."
$39 Rooftop Cocktails & Bites Experience,39,pulsd.com/new-york/promotions/vue-180-cocktails-bites-experience-rooftop-nyc,4.3,241,Vue 180,"525 8th Avenue, New York, NY 10018","People say this bar offers delicious drinks, including an old fashioned made with Buffalo Trace, and a variety of appetizers like beef satay skewers and nachos. They also highlight the great prices, especially during happy hour, and the beautiful views of the city from the rooftop.

Other reviews mention the food can be inconsistent."
"$39 Dinner For Two & Wine/Beers, East Village",39,pulsd.com/new-york/promotions/whitmans-east-village-dinner-restaurant-nyc,4.3,437,Whitmans East Village,"406 E 9th Street, New York, NY 10009",
"$29 2Crs Boozy Cocktail Brunch For 2, Hoboken",29,pulsd.com/new-york/promotions/madd-hatter-cocktail-brunch-restaurant-nyc,4.3,3188,Madd Hatter,"221 Washington Street, Hoboken, NJ 07030","People say this bar and grill offers delicious wings, mac and cheese, and brunch options, as well as great drink specials and screwdrivers. They also highlight the fun, lively atmosphere, perfect for watching football, and the friendly, attentive staff and bartenders.

Other reviews mention the drinks can be expensive."
$29 Touchdown Dinner For Two With Drinks,29,pulsd.com/new-york/promotions/madd-hatter-dinner-restaurant-nyc,4.3,3188,Madd Hatter,"221 Washington Street, Hoboken, NJ 07030","People say this bar and grill offers delicious wings, mac and cheese, and brunch options, as well as great drink specials and screwdrivers. They also highlight the fun, lively atmosphere, perfect for watching football, and the friendly, attentive staff and bartenders.

Other reviews mention the drinks can be expensive."
$29 Tix: Champagne & Sparkling Wine Tasting,29,pulsd.com/new-york/promotions/le-du-wines-champagne-sparkling-wines-tasting,4.3,51,Le Du Wines,"600 Washington Street, New York, NY",
Rooftop VDay For 2 + Champagne Bottle & More,,pulsd.com/new-york/promotions/elsie-rooftop-valentines-day-experience-nyc,4.2,1593,Elsie Rooftop,"1412 Broadway, 25th Floor, New York, NY 10018","People say this lounge offers amazing food and a fun salsa dancing floor. They also highlight the stunning views, lively vibe, and friendly staff.

Other reviews mention the drinks can be overpriced."
$85 Eataly Alpine Winter Wine & Food Festival,85,pulsd.com/new-york/promotions/eataly-2026-alpine-food-wine-festival-nyc,4.2,6199,Eataly NYC Downtown,"4 World Trade Center, 101 Liberty St., 3rd Floor, New York, NY","People say this Italian restaurant offers delicious lasagna, fresh pasta, and focaccia. They also highlight the friendly staff, the vibrant atmosphere, and the wide selection of Italian groceries.

Other reviews mention the food can be overpriced."
$79 Speakeasy Burlesque Experience For 2,79,pulsd.com/new-york/promotions/adelaides-salon-speakeasy-burlesque-cocktail-experience-nyc,4.2,71,Adélaïde’s Salon,"176 8th Avenue, Manhattan NY, 10011",
$59 Rooftop Bottomless Brunch For Two,59,pulsd.com/new-york/promotions/elsie-rooftop-bottomless-brunch-restaurant-nyc,4.2,1594,Elsie Rooftop,"1412 Broadway, 25th Floor, New York, NY 10018","People say this lounge offers amazing food and strong drinks. They also highlight the beautiful venue, great views, and fun atmosphere, especially during themed nights.

Some reviews mention the food can be overpriced."
$49 For A 90 Minute Bottomless Brunch for Two,49,pulsd.com/new-york/promotions/lagos-bottomless-brunch-restaurant-nyc,4.2,2545,Lagos,"727 7th Avenue, New York, NY 10019","Diners say this African restaurant serves up delicious suya, jollof rice, and plantains, and they praise the lively atmosphere with great music. They also highlight the friendly and attentive staff, and many recommend the brunch and happy hour.

Some reviews mention the music can be loud."
"$49 Bottomless Brunch For Two, FiDi",49,pulsd.com/new-york/promotions/clinton-hall-fidi-restaurant-bottomless-brunch-nyc,4.2,1901,Clinton Hall FiDi,"90 Washington Street, New York, NY 10006","People say this beer garden offers a wide selection of beers and delicious drinks. They also highlight the fun games, outdoor seating, and the accommodating and respectful staff.

Other reviews mention the food can be disappointing."
$49 Dinner For 2 & Cocktails/Wines/Beers,49,pulsd.com/new-york/promotions/sea-thai-dinner-restaurant-nyc,4.2,6051,SEA,"114 North 6th Street, New York, NY 11211","Diners say this Thai restaurant serves up delicious drunken noodles, crispy seafood salad, and red curry with crispy duck. They also highlight the beautiful interior, spacious layout, and friendly, attentive service.

Some reviews mention the music can be loud."
"$49 3Crs Dinner For 2 & Cocktails, Wine, Beer",49,pulsd.com/new-york/promotions/jalao-dinner-restaurant-nyc,4.2,1070,Jalao,"2420 Amsterdam Avenue, New York, NY 10033","People say this restaurant serves delicious Dominican food, including skirt steak, oxtail, and chicharrón. They also highlight the lively atmosphere, great music, and friendly service.

Other reviews mention the service can be slow."
"$49 Endless Drinks & Tacos For Two, Astoria",49,pulsd.com/new-york/promotions/blend-astoria-bottomless-drinks-and-tacos-nyc,4.2,2197,Blend Astoria,"37-17 30th Avenue, Astoria, NY 11103","People say this Latin American restaurant serves delicious tilapia, fried rice, and salmon, and offers a variety of tasty desserts. They also highlight the lively atmosphere, friendly staff, and good drinks.

Other reviews mention the service can be slow."
"$49 Bottomless Brunch For Two, Midtown",49,pulsd.com/new-york/promotions/clinton-hall-36th-street-restaurant-bottomless-brunch-nyc,4.2,787,Clinton Hall 36th Street,"16 W 36th Street, New York, NY 10018","People say this beer garden offers good drinks and a variety of beers. They also highlight the friendly and accommodating staff, and the spacious atmosphere suitable for large groups.

Other reviews mention the food can be mid."
$49 3Crs Dinner For 2 & Cocktails/Wines,49,pulsd.com/new-york/promotions/bourbon-street-dinner-restaurant-nyc,4.2,2403,Bourbon Street,"40-12 Bell Boulevard, Bayside, NY 11361","People say this restaurant offers delicious Cajun and Creole dishes, including jambalaya, gumbo, and blackened seafood, as well as a variety of cocktails and beers. They also highlight the lively and festive atmosphere, often with live music, and the friendly service.

Other reviews mention the food can be overpriced."
"$49 Bottomless Brunch For Two, Midtown",49,pulsd.com/new-york/promotions/clinton-hall-51st-street-restaurant-bottomless-brunch-nyc,4.2,646,Clinton Hall,"230 E 51st Street, New York, NY 10022",
$49 For A 90 Minute Bottomless Brunch For Two,49,pulsd.com/new-york/promotions/la-palapa-nyc-bottomless-brunch-restaurant-nyc,4.2,776,La Palapa,"77 St. Marks Place, New York, NY 10003","Diners say this Mexican restaurant serves up delicious bottomless brunch with options like huevos rancheros, avocado toast, and tulum eggs, alongside tasty margaritas. They also highlight the lively atmosphere, complete with a cute exterior decor and a great happy hour with frozen margaritas.

Some reviews mention the service can be slow."
$39 Penthouse Dinner For 2 w Cocktails/Wines,39,pulsd.com/new-york/promotions/the-ivy-room-dinner-restaurant-nyc,4.2,113,The Ivy Room,"420 Park Ave South, New York, NY 10016","Diners say this restaurant serves up delicious steak frites, burgers, and an impressive old fashioned. They also highlight the intimate and charming atmosphere, complete with live music and a cozy fireplace.

Some reviews mention the service can be slow."
$39 Rooftop Bottomless Brunch For Two,39,pulsd.com/new-york/promotions/bourbon-street-bottomless-brunch-restaurant-nyc,4.2,2403,Bourbon Street,"40-12 Bell Boulevard, Bayside, NY 11361","People say this restaurant offers delicious Cajun and Creole dishes, including jambalaya, gumbo, and blackened seafood, as well as a variety of cocktails and beers. They also highlight the lively and festive atmosphere, often with live music, and the friendly service.

Other reviews mention the food can be overpriced."
$29 Ticket: Rooftop Super Bowl Open Bar Party,29,pulsd.com/new-york/promotions/2026-elsie-rooftop-open-bar-super-bowl-party-nyc,4.2,1594,Elsie Rooftop,"1412 Broadway, 25th Floor, New York, NY 10018","People say this lounge offers amazing food and strong drinks. They also highlight the beautiful venue, great views, and fun atmosphere, especially during themed nights.

Some reviews mention the food can be overpriced."
$29 Bottomless Jazz Brunch For Two,29,pulsd.com/new-york/promotions/the-ivy-room-bottomless-brunch-restaurant-nyc,4.2,113,The Ivy Room,"420 Park Ave South, New York, NY 10016","Diners say this restaurant serves up delicious steak frites, burgers, and an impressive old fashioned. They also highlight the intimate and charming atmosphere, complete with live music and a cozy fireplace.

Some reviews mention the service can be slow."
$29 NYT Praised 2Hour Bottomless Brunch For 2,29,pulsd.com/new-york/promotions/jalao-bottomless-brunch-restaurant-nyc,4.2,1070,Jalao,"2420 Amsterdam Avenue, New York, NY 10033","People say this restaurant serves delicious Dominican food, including skirt steak, oxtail, and chicharrón. They also highlight the lively atmosphere, great music, and friendly service.

Other reviews mention the service can be slow."
$29 For A Dinner for 2 With Drinks,29,pulsd.com/new-york/promotions/north-sea-tavern-dinner-hamptons-ny,4.2,274,North Sea Tavern,"1271 N Sea Road, Southampton, NY 11968",
The Dubai Frozen Hot Chocolate Experience,,pulsd.com/new-york/promotions/serendipity-3-upper-east-side-date-night-restaurant-nyc,4.1,6486,Serendipity 3,"225 East 60th Street , New York, NY 10022","People say this American restaurant serves delicious frozen hot chocolate, banana splits, and sundaes. They also highlight the fun, whimsical atmosphere, and the friendly, attentive staff.

Other reviews mention the food can be pricey."
$89 Caviar+Oysters Brunch For 2 & Bubbly,89,pulsd.com/new-york/promotions/number-one-caviar-brunch-restaurant-nyc,4.1,112,Number One Caviar,"14 Wall Street, New York, NY 10005","People say this boutique offers a caviar-centric omakase and a variety of high-quality caviar. They also highlight the reasonable prices and the exclusive, cool vibe.

Other reviews mention the service can be impolite."
"$69 3Crs Dinner For 2 + Cocktails, Wine, Beer",69,pulsd.com/new-york/promotions/the-butchers-daughter-williamsburg-dinner-restaurant-nyc,4.1,1089,The Butchers Daughter - Williamsburg,"271 Metropolitan Avenue, Brooklyn, NY 11211","People say this vegetarian restaurant offers delicious brunch, with a nice menu selection, and flavorful dishes. They also highlight the friendly staff, chill vibes, and great drinks, including juices and lattes.

Other reviews mention the portions can be small."
"$69 3Crs Dinner For 2 With Cocktails, Wines",69,pulsd.com/new-york/promotions/lobby-bar-and-garden-dinner-restaurant-nyc,4.1,84,The Lobby Bar & Garden,"518 W 27th Street, New York, NY 10001",
$59 Rooftop Cocktails & Bonfire Fondue For 2,59,pulsd.com/new-york/promotions/sandbar-rooftop-cocktails-fondue-experience-nyc,4.1,450,Sandbar Rooftop,"152 West 26th Street, New York, NY 10001","People say this lounge offers great cocktails and a small food menu with options like cheese fondue, s'mores, and pinsa-style pizzas. They also highlight the reasonable prices, the relaxed and comfortable atmosphere, and the fantastic views of the city, including the Empire State Building.

Other reviews mention the service can be slow."
$59 3Crs Dinner For 2 w Wine Bottle/Cocktails,59,pulsd.com/new-york/promotions/baazi-dinner-restaurant-nyc,4.1,341,Baazi,"2588 Broadway , New York, NY 10025","People say this restaurant serves delicious and creative Indian dishes with diverse flavors. They also highlight the mid-range prices and pleasant atmosphere.

Other reviews mention the service can be slow."
$59 90m Rooftop Bottomless Brunch For Two,59,pulsd.com/new-york/promotions/lighthouse-rooftop-bottomless-brunch-restaurant-nyc,4.1,825,Lighthouse Rooftop,"45-15 37th Street, Queens, NY 11101","Diners say this restaurant offers delicious brunch items like steak and eggs, chicken and waffles, and a mimosa tower, alongside tasty dinner options such as branzino, short rib egg rolls, and a bourbon burger. They also highlight the beautiful city views, especially from the rooftop, and the lively atmosphere with music and dancing.

Some reviews mention the service can be slow."
$59 Celeb-Pick 3 Crs Dinner For 2 & Cocktails,59,pulsd.com/new-york/promotions/pink-taco-dinner-restaurant-nyc,4.1,1338,Pink Taco,"7 Times Square, New York, NY 10036","People say this Mexican restaurant offers a good selection of tacos, including the OG Pink Taco and cauliflower taco, as well as a delicious chicken Caesar salad. They also highlight the friendly and attentive service, and the fun, lively atmosphere.

Other reviews mention the food can be overpriced."
$55 3 Course Dinner For Two + Sangria Pitcher,55,pulsd.com/new-york/promotions/umbertos-clam-house-dinner-nyc,4.1,1239,Umberto's Clam House,"132 Mulberry Street, New York, NY 10013","Diners say this Italian restaurant serves delicious clams, pasta, and pizza, and they praise the fresh seafood. They also highlight the friendly and attentive service, and the authentic Italian atmosphere, especially in the outdoor seating area.

Some reviews mention the food can be overpriced."
$49 3 Course Dinner For 2 & Wines/Beers,49,pulsd.com/new-york/promotions/han-dynasty-long-island-city-dinner-restaurant-nyc,4.1,117,Han Dynasty Long Island City,"4504 Pearson Street, Long Island City, NY 11101","People say this Chinese restaurant serves delicious Dan Dan noodles, dry pepper chicken, and tofu pot. They also highlight the good value, spacious dining area with beautiful art, and attentive service.

Other reviews mention the food can be overpriced."
$49 AYCE/AYCD Tacos & Drinks Dinner For Two,49,pulsd.com/new-york/promotions/h-and-h-cantina-drinks-and-tacos-dinner-restaurant-east-village-nyc,4.1,10,H&H Cantina,"103 1st Avenue, New York, NY 10003",
"$49 Bottomless Brunch for Two, East Village",49,pulsd.com/new-york/promotions/h-and-h-cantina-bottomless-brunch-restaurant-east-village-nyc,4.1,10,H&H Cantina,"103 1st Avenue, New York, NY 10003",
$49 Epic 90 Minute Bottomless Brunch For Two,49,pulsd.com/new-york/promotions/pink-taco-bottomless-brunch-restaurant-nyc,4.1,1338,Pink Taco,"7 Times Square, New York, NY 10036","People say this Mexican restaurant offers a good selection of tacos, including the OG Pink Taco and cauliflower taco, as well as a delicious chicken Caesar salad. They also highlight the friendly and attentive service, and the fun, lively atmosphere.

Other reviews mention the food can be overpriced."
$39 Dinner For 2 & Cocktails/Wines/Beers,39,pulsd.com/new-york/promotions/chote-nawab-dinner-nyc,4.1,917,Chote Nawab,"115 Lexington Avenue, New York, NY 10016","People say this Indian restaurant serves delicious and flavorful dishes, including uncommon options like chicken with green chili and coconut, and lamb biryani. They also highlight the reasonable prices, quick service, and the warm and attentive staff.

Other reviews mention the food can be inconsistent."
$39 Dinner For 2 & Cocktails/Wines/Beers,39,pulsd.com/new-york/promotions/malai-marke-dinner-nyc,4.1,563,Malai Marke,"318 E 6th Street, New York, NY 10003",
$39 Dinner For 2 & Cocktails/Wine/Beers,39,pulsd.com/new-york/promotions/the-grand-dinner-restaurant-nyc,4.1,1656,The Grand,"37-01 30th Avenue, Astoria, NY 11103","People say this restaurant offers delicious mac and cheese balls, chicken and waffles, and lemon pepper chicken wings. They also highlight the chill vibe, friendly and attentive service, and the charismatic barista.

Other reviews mention the food can be overpriced."
$29 For A 2 Course Bottomless Brunch For Two,29,pulsd.com/new-york/promotions/pita-and-beyond-bottomless-brunch-restaurant-nyc,4.1,210,Pita & Beyond,"417 3rd Avenue, New York, NY 10016","People say this restaurant serves delicious tacos, birria, and enchiladas, as well as refreshing margaritas and smoothies. They also highlight the generous portions, good value, and friendly, welcoming service.

Some reviews mention the service can be slow."
Speakeasy 12 Crs Cocktail Omakase Experience,,pulsd.com/new-york/promotions/f-and-bar-speakeasy-omakase-dinner-nyc,4,4,F&Bar,"705 Myrtle Avenue, Brooklyn, NY 11205",
"Michelin Guide 4 Crs Dinner, Dessert, Drinks",,pulsd.com/new-york/promotions/la-devozione-the-oval-dinner-restaurant-nyc,4,720,La Devozione,"428 W 16th Street, New York, NY 10011","People say this restaurant serves delicious, authentic Italian pasta, including carbonara and tasting menus. They also highlight the lively atmosphere, the attentive service, and the fun experience of sitting at the oval overlooking the kitchen.

Other reviews mention the food can be overpriced."
"$69 3Crs Dinner For 2, Wine Bottle, Cocktails",69,pulsd.com/new-york/promotions/boathouse-rooftop-dinner-restaurant-nyc,4,58,Boathouse Rooftop,"32-72 Steinway Street, Astoria, NY 11103","People say this restaurant offers delicious braised short ribs, ribeye steak, and lamb chops, as well as a variety of drinks and hookah flavors. They also highlight the beautiful decor, stunning rooftop views, and attentive service.

Other reviews mention the food can be overpriced."
"$69 3Crs Dinner For 2 + Cocktails, Wine, Beer",69,pulsd.com/new-york/promotions/the-butchers-daughter-nolita-dinner-restaurant-nyc,4,2112,The Butcher's Daughter - Nolita,"19 Kenmare Street, New York NY 10012","People say this vegetarian restaurant serves delicious food, especially the pepperoni pizza, surfer burrito, and avocado toast. They also highlight the fresh, healthy ingredients, and the friendly, attentive service.

Other reviews mention the food can be overpriced."
$59 3 Course Dinner For 2 With Cocktails,59,pulsd.com/new-york/promotions/lowkey-garden-lounge-restaurant-dinner-nyc,4,442,Lowkey Garden Lounge,"70-15 Austin Street, Queens, NY 11375","People say this restaurant offers amazing omelettes and other brunch dishes, as well as good drinks and hookah. They also highlight the cute and aesthetically pleasing setup, the fun and playful vibe, and the attentive service from the staff.

Other reviews mention the music can be loud."
$49 For A 2 Course Dinner For 2 w Wine,49,pulsd.com/new-york/promotions/inti-restaurant-dinner-nyc,4,522,Inti Restaurant,"820 10th Avenue, New York, NY 10019","Diners say this Peruvian restaurant serves up delicious lomo saltado, Peruvian chicken, and pisco sours. They also highlight the friendly service, lively atmosphere, and authentic Peruvian flavors.

Some reviews mention the service can be slow."
$49 Gorgeous Bottomless Brunch for Two,49,pulsd.com/new-york/promotions/lowkey-garden-lounge-bottomless-brunch,4,442,Lowkey Garden Lounge,"70-15 Austin Street, Queens, NY 11375","People say this restaurant offers amazing omelettes and other brunch dishes, as well as good drinks and hookah. They also highlight the cute and aesthetically pleasing setup, the fun and playful vibe, and the attentive service from the staff.

Other reviews mention the music can be loud."
$49 Rooftop 90 Minute Bottomless Brunch For 2,49,pulsd.com/new-york/promotions/boathouse-rooftop-bottomless-brunch-restaurant-nyc,4,58,Boathouse Rooftop,"32-72 Steinway Street, Astoria, NY 11103","People say this restaurant offers delicious braised short ribs, ribeye steak, and lamb chops, as well as a variety of drinks and hookah flavors. They also highlight the beautiful decor, stunning rooftop views, and attentive service.

Other reviews mention the food can be overpriced."
$39 Dinner For 2 & Cocktails/Wines/Beer,39,pulsd.com/new-york/promotions/masala-king-nyc-dinner,4,969,Masala King,"64 E 34th Street, New York, NY 10016","People say this Indian restaurant serves delicious butter chicken, naan, and tandoori chicken. They also highlight the generous portion sizes, fresh ingredients, and authentic flavors.

Other reviews mention the service can be slow."
New York Knicks Alumni Fest,,pulsd.com/pulses/61310,3.9,288,Pier 36,"299 South St, New York, NY 10002",
"$69 3 Crs Bottomless Dinner For Two, Astoria",69,pulsd.com/new-york/promotions/zikrayat-bottomless-dinner-restaurant-nyc,3.9,91,Zikrayat,"24-17 Steinway Street , Astoria, NY 11103","People say this Middle Eastern restaurant offers a great buffet with delicious food. They also highlight the friendly staff, welcoming hospitality, and entertaining live music and belly dancing.

Other reviews mention the service can be slow."
$59 Rooftop Bottomless Brunch For Two,59,pulsd.com/new-york/promotions/highkey-rainforest-rooftop-bottomless-brunch-restaurant-nyc,3.9,658,Highkey Rainforest Rooftop,"6 Platt Street, New York, NY 10038","People say this restaurant offers delicious lobster skewers, burger sliders, and sangria, and has a beautiful atmosphere with Instagram-worthy photo opportunities.

Other reviews mention the food can be bland and the service can be slow."
"$59 3Crs Dinner For 2 & Cocktails, Wine, Beer",59,pulsd.com/new-york/promotions/the-heist-dinner-restaurant-nyc,3.8,2684,The Heist,"60 W 37th Street, New York, NY 10018","People say this hotel offers spacious rooms with great city views, and a complimentary breakfast and evening reception with snacks and drinks.

Other reviews mention the elevators can be slow and the rooms can be small."
"$59 Japanese Dinner For Two & Cocktails, Wine",59,pulsd.com/new-york/promotions/bliss-terasu-dinner-restaurant-nyc,3.8,25,Bliss Terasu,"6 Platt Street, New York, NY 10038",
"$39 Speakeasy Cocktail Experience For 2, UES",39,pulsd.com/new-york/promotions/the-ues-speakeasy-cocktails-ice-cream-experience-nyc,3.7,677,The UES.,"1707 Second Avenue, New York, NY 10128","People say this ice cream shop offers a fun speakeasy concept.

Other reviews mention the service can be slow and the staff can be inattentive."
$29 90 Minute Bottomless Brunch For Two,29,pulsd.com/new-york/promotions/guesthouse-bottomless-brunch-restaurant-nyc,3.7,100,GuestHouse,"265 Graham Avenue, Brooklyn, NY 11206","People say this restaurant offers delicious lamb chops, wings, and drinks, and has a great brunch experience.

Other reviews mention the food can be slow to arrive and the portions can be small."
"$29 Dinner For Two w Cocktails, Wines, Beers",29,pulsd.com/new-york/promotions/guesthouse-dinner-restaurant-nyc,3.7,100,GuestHouse,"265 Graham Avenue, Brooklyn, NY 11206","People say this restaurant offers delicious lamb chops, wings, and drinks, and has a great brunch experience.

Other reviews mention the food can be slow to arrive and the portions can be small."
Tyra Banks’ Smize & Dream Ice Cream Pop Up,,pulsd.com/pulses/61220,,,"New York, NY","New York, NY",
Fiasconaro Boutique Pop-up,,pulsd.com/pulses/60487,,,422 West Broadway,"422 West Broadway , New York, NY 10012",
pulsd Gift Cards,,pulsd.com/new-york/promotions/pulsd-gift-cards,,,"New York, NY","New York, NY",
Free Bagels,,pulsd.com/pulses/61308,,,"New York, NY","New York, NY",
$115 Membership To A Private Dinner Club,115,pulsd.com/new-york/promotions/2023-tasting-collective-dinner-club-membership-nyc,,,"New York, NY","New York, NY",
